pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
704	Две большие парковые скамейки у человека, сидящего и бутылку содовой между ними	Два больших люди сидят на скамейке в парке и у них есть бутылка соды между ними	3.7	ENTAILMENT
709	Мужчина и женщина удобно устроились на скамейке	Два человека большого размера сидит на скамейке в парке и у них есть бутылка соды между ними	3.3	NEUTRAL
715	Мужчина мчится для свинца 	Человек ведет гонку	3.7	NEUTRAL
722	Несколько мужчин в конкуренции работают за пределами	Один человек ведет гонку	3.1	NEUTRAL
723	Человек замыкающая гонки	Несколько мужчин в конкуренции работают за пределами	3.7	NEUTRAL
725	Несколько мужчин в конкуренции работают за пределами	Человек ведет гонку	3.8	NEUTRAL
727	Человек с камерой изучения предмета	Там нет ни одного человека с камерой изучения предмета	3.6	CONTRADICTION
728	Человек с камерой изучения предмета	Субъект исследования является человек камеры	3.6	NEUTRAL
729	Люди с окрашенной фиолетовой шляпе работают камеру, которая делает видео	Человек в фиолетовой шляпе работает камера, которая делает видео	4.9	ENTAILMENT
730	Человек в фиолетовой шляпе не работает камера, которая делает видео	Человек в фиолетовой шляпе работает камера, которая делает видео	3.4	CONTRADICTION
731	Люди с окрашенной фиолетовой шляпе работают камеру, которая делает видео	Человек с камерой изучения предмета	3.4	NEUTRAL
732	Человек с камерой изучения предмета	Человек в фиолетовой шляпе не работает камера, которая делает видео	3.2	NEUTRAL
733	Человек в фиолетовой шляпе работает камера, которая делает видео	Предмет изучается человек с камерой	3.6	NEUTRAL
734	Человек в фиолетовой шляпе работает камера, которая делает видео	Там нет ни одного человека с камерой изучения предмета	3.2	NEUTRAL
735	Субъект исследования является человек камеры	Человек в фиолетовой шляпе работает камера, которая делает видео	2.8	NEUTRAL
736	Человек в фиолетовой шляпе работает камера, которая делает видео	Человек с камерой изучения предмета	3.3	NEUTRAL
737	Невеста и жених покидают после брака	Невеста и жених покидают после свадьбы	4.8	ENTAILMENT
738	Невеста и жених прибывают после свадьбы	Невеста и жених покидают после свадьбы	4.3	NEUTRAL
741	Супружеская пара идет по проходу	Супружеская пара идет вниз по проходу	4.4	ENTAILMENT
745	Священник шел по проходу, чтобы выйти замуж за пару	Невеста и жених покидают после свадьбы	2.8	NEUTRAL
746	Невеста и жених покидают после брака	Супружеская пара идет вниз по проходу	3.6	NEUTRAL
747	Невеста и жених прибывают после свадьбы	Супружеская пара идет вниз по проходу	4.0	NEUTRAL
748	Супружеская пара идет вниз по проходу	Невеста покидает жених после свадьбы	2.6	NEUTRAL
749	Супружеская пара идет вниз по проходу	Невеста и жених покидают после свадьбы	3.4	NEUTRAL
752	Презентации наблюдает классе студентов	В презентации принимают участие в классе студентов	4.8	ENTAILMENT
754	В презентации принимают участие в классе студентов	Классная комната полна студентов	3.4	NEUTRAL
757	Презентации наблюдает классе студентов	Классная комната пуста	3.0	NEUTRAL
760	Мальчик на холме, покрытые снегом одета в красную куртку и черную шапку и сползает на коленях	Мальчик в нижней части холма, покрытого снегом обнажена и сидит на коленях	3.2	NEUTRAL
761	Мальчик на холме, покрытые снегом одета в красную куртку и черную шапку и сползает на коленях	Мальчик на красном и черном слайде одет в куртку и шляпу и колени, которые покрыты снегом	3.5	NEUTRAL
762	Ребенок, к счастью, скольжение по снегу	Ребенок скользит по снегу	4.5	ENTAILMENT
764	Снег слайд полон детей	Ребенок скользит по снегу	3.4	NEUTRAL
766	Мальчик на холме, покрытые снегом одета в красную куртку и черную шапку и сползает на коленях	Ребенок еще в снеге	3.4	ENTAILMENT
769	Ребенок скользит по снегу	Мальчик в нижней части холма, покрытого снегом обнажена и сидит на коленях	2.7	NEUTRAL
772	Женщина и собака мирно сидит на пне	Женщина и собака сидит на пне	4.5	ENTAILMENT
774	Женщина, которая стара, находится рядом с собакой, которая имеет белое пальто	Женщина, которая стара, находится рядом с белой собакой	4.4	ENTAILMENT
777	Женщина, которая стара, далека от белой собаки	Женщина и собака сидит на пне	2.4	NEUTRAL
783	Человек полива травы и взволнованно, играя с собакой	Собака возбужденно играет с водой в траве	3.5	NEUTRAL
784	Собака кусает несколько капель воды	Собака щелкать на некоторых капель воды	4.5	ENTAILMENT
785	Собака щелкать на некоторых капель воды	Собака не щелкать на некоторых капель воды	4.0	CONTRADICTION
789	Собака возбужденно играет с водой в траве	Оснастка является изображением воды падает в виде капель на собаке	2.9	NEUTRAL
791	Собака щелкать на некоторых капель воды	Там не одна собака возбужденно играет с водой в траве	3.5	NEUTRAL
792	Человек полива травы и взволнованно, играя с собакой	Собака щелкать на некоторых капель воды	2.4	NEUTRAL
793	Собака щелкать на некоторых капель воды	Собака возбужденно играет с водой в траве	4.2	NEUTRAL
796	Два человека находятся в снегу, носить одежду, которые обеспечивают маскировку	Некоторые люди в снеге, носить одежду, которые обеспечивают маскировку	4.4	ENTAILMENT
797	Никто не в снеге, носить одежду, которые обеспечивают маскировку	Два человека находятся в снегу, носить одежду, которые обеспечивают маскировку	3.3	CONTRADICTION
799	Некоторые люди в снеге, носить одежду, которые обеспечивают маскировку	Два человека идет две собак с золотыми пальто в снеге	2.7	NEUTRAL
802	Два человека находятся в снегу, носить одежду, которые обеспечивают маскировку	Два человека идет две собак с золотыми пальто в снеге	3.2	NEUTRAL
804	Два человека находятся в снегу, носить одежду, которые обеспечивают маскировку	Два человека идет две собак с золотыми пальто в снеге	2.7	NEUTRAL
811	Там нет девушки носить футболку и держать рот открытым	Девушка из Азии, в передней части окна кирпича, выглядит удивленной	2.2	NEUTRAL
812	Девушка из Азии, в передней части окна из кирпича, выглядит удивленной	Девочка одета в футболку и имеет открытым ртом.	2.4	NEUTRAL
813	Девушка из Азии, в передней части окна кирпича, не выглядит удивлена	Девочка одета в футболку и имеет открытым ртом.	2.1	NEUTRAL
820	Человек в велосипедном снаряжении постоянно стоит перед некоторыми горами 	Горы шестерня постоянно находится впереди стоящего велосипедиста	3.6	NEUTRAL
822	Там нет ни одного человека в велосипедной шестерне стоял устойчиво перед гор	Группа людей оснащена средствами защиты	2.3	NEUTRAL
824	Группа людей, оснащенные с редуктором используется для защиты	Человек в велосипедном снаряжении постоянно стоит перед некоторыми горами 	2.0	NEUTRAL
825	Группа людей оснащена unprotective шестерней	Человек в велосипедном снаряжении постоянно стоит перед некоторыми горами 	2.0	NEUTRAL
830	Маленький ребенок играет в футбол и падение безвредно в траве	Маленький ребенок играет в футбол и падает в траву	4.6	ENTAILMENT
831	Там не маленький ребенок, играя в футбол и падают в траву	Маленький ребенок играет в футбол и падает в траву	4.1	CONTRADICTION
836	Футбол между ногами мальчика, который лежал на траве	Маленький ребенок играет в футбол и падает в траву	3.5	NEUTRAL
839	Футбол между ногами мальчика, который лежал на траве	Маленький ребенок играет в футбол и падает в траву	3.7	NEUTRAL
841	Люди с оборудованием используется для лазания висят от белой вертикальной скалы.	Люди с оборудованием используется для восхождений находятся под вертикальной, белой породой	3.9	NEUTRAL
844	Женщина с хвостиком поднимается вниз стеной скалы	Женщина с хвостиком восхождение стены скалы	4.085	ENTAILMENT
845	Женщина с хвостиком восхождение стены скалы	Женщина хвостовые пони возле рок-стена для скалолазания	2.9	NEUTRAL
846	Люди с оборудованием используется для лазания висят от белой вертикальной скалы.	Женщина с косичками восхождение на каменной стене	2.1	NEUTRAL
848	Женщина хвостовые пони возле рок-стена для скалолазания	Люди с оборудованием используется для лазания висят от белой вертикальной скалы.	1.8	NEUTRAL
851	Женщина с хвостиком восхождение стены скалы	Альпинистское снаряжение, чтобы спасти человек висит от белой, вертикальной скалы	1.8	NEUTRAL
852	Люди с оборудованием используется для лазания висят от белой вертикальной скалы.	Женщина с хвостиком восхождение стены скалы	2.7	NEUTRAL
855	Черно-белая собака радостно работает на траве	Черный человек в белом радостно бежит с собакой на траве	2.4	NEUTRAL
857	Одна белая собака и один черный сидят бок о бок на траве	Одна белая собака и один черный работают бок о бок на траве	3.7	NEUTRAL
858	Одна белая собака и один черный один являются бодро работает бок о бок на траве	Черно-белая собака радостно работает на траве	4.4	ENTAILMENT
859	Одна белая собака и один черный сидят бок о бок на траве	Черно-белая собака радостно работает на траве	4.115	NEUTRAL
862	Черный человек в белом радостно бежит с собакой на траве	Одна белая собака и один черный работают бок о бок на траве	2.3	NEUTRAL
864	Многие люди находятся в ледовом парке	Не много людей в парке катания на льду	3.9	CONTRADICTION
866	Многие люди на коньках в парке льда	Многие люди находятся в ледовом парке	3.9	NEUTRAL
867	Каток на открытом воздухе размещены полно людей	Каток на открытом воздухе размещены полно людей	4.9	ENTAILMENT
868	Каток на открытом воздухе помещен пустой	Каток на открытом воздухе размещены полно людей	3.6	CONTRADICTION
869	Каток на открытом воздухе размещены полно людей	Льда фигурист на открытом воздухе выступает на каток, полные люди	4.0	NEUTRAL
870	Каток на открытом воздухе размещены полно людей	Многие люди находятся в ледовом парке	4.2	ENTAILMENT
872	Многие люди находятся в ледовом парке	Льда фигурист на открытом воздухе выступает на каток, полные люди	3.5	NEUTRAL
874	Каток на открытом воздухе размещены полно людей	Есть не так много людей в ледовом парке	3.6	CONTRADICTION
876	Каток на открытом воздухе размещены полно людей	Многие люди находятся в ледовом парке	4.5	ENTAILMENT
878	Девушка в форме, которая является синей, является снижение ее руки	Девушка в форме, которая является синей, поднимает ее руку.	3.4	NEUTRAL
879	Девочка поднимает синий мундир с ее рукой	Девушка в форме, которая является синей, поднимает ее руку.	3.3	NEUTRAL
880	Девушка в синей и белой форме восхищаться	Некоторые возгласы, выполняются девушки в синей и белой форме	4.9	ENTAILMENT
881	Девушка в синей и белой форме не болеть	Девушка в синей и белой форме восхищаться	4.1	CONTRADICTION
883	Некоторые возгласы, выполняются девушки в синей и белой форме	Девушка в форме, которая является синей, поднимает ее руку.	4.2	NEUTRAL
887	Девушка в синей и белой форме восхищаться	Девушка в форме, которая является синей, является снижение ее руки	3.4	NEUTRAL
888	Девочка поднимает синий мундир с ее рукой	Девушка в синей и белой форме восхищаться	3.2	NEUTRAL
889	Девушка в форме, которая является синей, поднимает ее руку.	Девушка в синей и белой форме восхищаться	3.3	NEUTRAL
892	Люди на пляже с песком на берегу океана и наслаждаться солнечным днем	Люди на пляже с песком на берегу океана и наслаждаясь день полны солнца	4.8	ENTAILMENT
893	Люди далеко от пляжа с песком на берегу океана и страдают от солнечного дня	Люди на пляже с песком на берегу океана и наслаждаться солнечным днем	2.9	NEUTRAL
895	Люди далеко от пляжа с песком на берегу океана и страдают от солнечного дня	Группа людей на берегу	2.8	NEUTRAL
898	Люди на пляже с песком на берегу океана и наслаждаться солнечным днем	Группа людей на берегу	3.8	ENTAILMENT
902	Человек делает вилли с мотоциклом в области, которая в основном бесплодной	Человек делает вилли с мотоциклом на земле, которая в основном бесплодная	4.4	ENTAILMENT
904	Человек делает вилли с мотоциклом на земле, которая в основном бесплодная	Человек находится на земле, которая в основном бесплодная, съемки свечи сделано с мотоциклом.	3.5	NEUTRAL
906	Человек в синем комбинезоне мужественно выполняя свечу на мотоцикле	Человек получает от мотоцикла на землю, которая в основном бесплодной	3.5	NEUTRAL
908	Человек в синем комбинезоне мужественно выполняя свечу на мотоцикле	Человек делает вилли с мотоциклом на земле, которая в основном бесплодная	4.1	NEUTRAL
909	Человек в синем комбинезоне не в состоянии выполнить свечу на мотоцикле	Человек делает вилли с мотоциклом на земле, которая в основном бесплодная	3.4	NEUTRAL
910	Человек делает вилли с мотоциклом на земле, которая в основном бесплодная	Смелый исполнитель делает вилли с мотоциклом над человеком в синем комбинезоне	3.6	NEUTRAL
915	Два человека спорит возле толпы	Два человека целуется возле толпы	3.0	NEUTRAL
917	Два человека, страстно целовались возле толпы	Женщина целуют человек	4.0	NEUTRAL
920	Два человека целуется возле толпы	Дама целуют человек	4.1	NEUTRAL
922	Два человека целуется возле толпы	Женщина целуют человек	4.0	NEUTRAL
927	Молодая девушка дует пузырь, который огромен	Молодая девушка дует пузырь, который очень мал	3.7	CONTRADICTION
931	Молодая девушка дует пузырь, который огромен	Девушка в окрашенной красной рубашке не дует пузырь	3.3	NEUTRAL
932	Пузырь дул, крашение девочки рубашку красной.	Молодая девушка дует пузырь, который огромен	3.0	NEUTRAL
935	Молодой ребенок босиком и ходить мимо лужи полной грязи	Маленький ребенок носить зеленые сапоги и играть в луже полной грязи	3.5	NEUTRAL
936	Маленький ребенок носить зеленые сапоги и играть в луже полной грязи	Некоторые зеленые сапоги в луже полной грязи преследуется игривым маленьким ребенком носить шарф	3.0	NEUTRAL
940	Маленький ребенок носить зеленые сапоги и играть в луже полной грязи	Маленький мальчик прыгает в лужу на улице	3.8	NEUTRAL
943	Маленький мальчик прыгает в лужу на улице	Маленький ребенок носить сапоги из зеленой резины и играть в луже полной грязи	4.2	NEUTRAL
944	Молодой ребенок босиком и ходить мимо лужи полной грязи	Маленький мальчик прыгает в лужу на улице	2.9	NEUTRAL
945	Некоторые зеленые сапоги в луже полной грязи преследуется игривым маленьким ребенком носить шарф	Маленький мальчик прыгает в лужу на улице	2.6	NEUTRAL
948	Две маленькие дети спят в вагоне, который действительно мал	Две маленькие дети едят corndogs в вагоне, который действительно мал	3.4	NEUTRAL
949	Две маленькие дети едят на самом деле небольшой вагон полный corndogs 	Две маленькие дети едят corndogs в вагоне, который действительно мал	3.9	NEUTRAL
950	Две маленькие дети едят corndogs	Два маленьких детей едят corndogs	4.9	ENTAILMENT
953	Две маленькие дети едят corndogs в вагоне, который действительно мал	Два маленьких детей едят corndogs	4.5	ENTAILMENT
956	Некоторые corndogs съедаются двумя малышами, которые находятся в вагоне, который действительно мал	Две маленькие дети едят corndogs	4.3	ENTAILMENT
957	Две маленькие дети спят в вагоне, который действительно мал	Две маленькие дети едят corndogs	1.6	NEUTRAL
959	Две маленькие дети едят corndogs в вагоне, который действительно мал	Две маленькие дети едят corndogs	4.3	ENTAILMENT
960	Человек в рубашке окрашенный фиолетовым смотрит на человеке в черной рубашке, который делает смешное лицо	Человек в рубашке окрашенный фиолетовым смотрит на человеке в черной рубашке, который делает лицо, которое выглядит смешно	5.0	ENTAILMENT
961	Человек в рубашке окрашенных фиолетовый отходя от мужчины в черной рубашке, который серьезно	Человек в рубашке окрашенный фиолетовым смотрит на человеке в черной рубашке, который делает смешное лицо	3.4	ENTAILMENT
962	Человек в рубашке окрашенный фиолетовым смотрит на человеке в черной рубашке, который делает смешное лицо	Человек в фиолетовой рубашке умирает другую рубашку черный, который имеет человек, глядя на собаке делает смешное лицо нарисованное на нем.	3.0	NEUTRAL
963	Человек в позе настоящее время изумленно смотрел на другого человека	Человек делает позу следит другому человек	4.6	ENTAILMENT
967	Человек в рубашке окрашенный фиолетовым смотрит на человеке в черной рубашке, который делает смешное лицо	Там нет ни одного человека в позе наблюдает другим человеком	3.6	NEUTRAL
970	Человек делает позу следит другому человек	Человек в рубашке окрашенных фиолетовый отходя от мужчины в черной рубашке, который серьезно	2.8	NEUTRAL
973	Лошадь бросание ковбоя носить брюки синего и красного цвета	Ковбой в синих и красных штанах в настоящее время бросили лошадь	4.9	ENTAILMENT
975	Лошадь бросание ковбоя носить брюки синего и красного цвета	Ковбой бросание синие и красные штаны к лошади	2.9	NEUTRAL
978	Человек кладет крышку над дикой лошадью, которая падает на трассе	Человек падает с лошади на треке и уложен в дикой природе	3.0	NEUTRAL
979	Человек внезапно падает с лошади на трассе, проложенной в дикой природе	Лошадь бросание ковбоя носить брюки синего и красного цвета	3.4	NEUTRAL
984	Человек падает с лошади на треке и уложен в дикой природе	Ковбой бросание синие и красные штаны к лошади	2.2	NEUTRAL
985	Человек падает с лошади на треке и уложен в дикой природе	Лошадь бросание ковбоя носить брюки синего и красного цвета	2.7	NEUTRAL
989	Мужчина и мальчик стоят в нижней части лестницы, которые на открытом воздухе	Мужчина и мальчик стоят в нижней части некоторых лестницы, которые на открытом воздухе	5.0	ENTAILMENT
991	Мужчина и мальчик стоят в нижней части лестницы, которые на открытом воздухе	Человек стоит на открытом воздухе и мальчик падает на дно лестницы	3.3	NEUTRAL
994	Взрослых в амфитеатре и разговаривает с мальчиком	Человек стоит на открытом воздухе и мальчик падает на дно лестницы	2.0	NEUTRAL
996	Там нет взрослых в амфитеатре разговаривает с мальчиком	Мужчина и мальчик стоят в нижней части лестницы, которые на открытом воздухе	2.2	NEUTRAL
998	Мужчина и мальчик стоят в нижней части лестницы, которые на открытом воздухе	Взрослых в амфитеатре и разговаривает с мальчиком	1.8	NEUTRAL
1000	Мальчик в красной рубашке перед длинной синей стеной и подозрительно приподняв бровь в камере	Мальчик в красной рубашке за длинной синей стеной и опуская бровь, смотрит в камеру	4.0	NEUTRAL
1002	Там не мальчик, стоя перед голубое здание в месте, предназначенном для людей с ограниченными возможностями	Мальчик стоит перед голубое здание в месте, предназначенном для людей с ограниченными возможностями	4.1	CONTRADICTION
1004	Мальчик в красной рубашке перед длинной синей стеной и подозрительно приподняв бровь в камере	Там не мальчик, стоя перед голубое здание в месте, предназначенном для людей с ограниченными возможностями	2.0	NEUTRAL
1007	Мальчик в красной рубашке перед длинной синей стеной и подозрительно приподняв бровь в камере	Мальчик стоит перед голубое здание в месте, предназначенном для людей с ограниченными возможностями	2.4	NEUTRAL
1008	В наездники на лошадях на поле, которое полностью зеленый	Наездники мчатся лошадьми на поле, которое полностью зеленый	4.7	ENTAILMENT
1009	Наездники мчатся лошадьми на поле, которое полностью зеленый	Жокеи замедляются своими лошадьми на поле, которое полностью зеленый	4.2	NEUTRAL
1010	Зеленое поле для скачек полностью заполнено Jockeys	Наездники мчатся лошадьми на поле, которое полностью зеленый	4.0	ENTAILMENT
1016	Некоторые разъяренные гонщики на зеленой траве орут на лошадях прыгать препятствие	Наездники мчатся лошадьми на поле, которое полностью зеленый	2.8	NEUTRAL
1018	Некоторые лошади мчатся бешено по зеленой траве и перепрыгивая препятствие	Жокеи замедляются своими лошадьми на поле, которое полностью зеленый	3.0	NEUTRAL
1019	Некоторые лошади мчатся бешено по зеленой траве и перепрыгивая препятствие	Зеленое поле для скачек полностью заполнено Jockeys	3.9	NEUTRAL
1021	Женщина в темных очках большого размера и держит газеты в обеих руках	Женщина в темных очках большого размера и держит газеты в обеих руках	5.0	ENTAILMENT
1022	Женщина в темных очках большого размера и держит газеты в обеих руках	Там нет ни одной женщины в темных очках большого размера и удерживающие газеты в обеих руках	3.8	CONTRADICTION
1026	Старая женщина одета в рубашку с рисунком розы на нем и неуклюже неся две газеты	Женщина в темных очках большого размера и держит газеты в обеих руках	3.6	NEUTRAL
1028	Старая женщина одета в розовый с рисунком рубашку и неумело проведение двух газет	Женщина в темных очках большого размера и держит газеты в обеих руках	3.5	NEUTRAL
1029	Старая женщина одета в розовый с рисунком рубашку и неумело проведение двух газет	Там нет ни одной женщины в темных очках большого размера и удерживающие газеты в обеих руках	3.0	NEUTRAL
1031	Старая женщина одета в розовый с рисунком рубашку и неумело проведение двух газет	Женщина в темных очках большого размера и держит газеты в обеих руках	3.8	NEUTRAL
1033	Человек, который практикует сноуборд падает из воздуха	Человек, который практикует сноуборд прыгает в воздух	3.5	NEUTRAL
1037	Сноубордист прыгает на белом снегу	Прыжок на белом снегу очень привлекательным для сноубордистов	3.2	NEUTRAL
1038	Сноубордист прыгает бесстрашно над белым снегом	Человек, который практикует сноуборд прыгает в воздух	3.9	ENTAILMENT
1043	Практикующий прыгун бросание сноуборда человека в воздух	Сноубордист прыгает на белом снегу	2.8	NEUTRAL
1044	Сноубордист прыгает на белом снегу	Человек, который практикует сноуборд прыгает в воздух	4.1	ENTAILMENT
1045	Собака находится рядом с мячом окрашенного в красный цвет, который находится в воздухе	Собака находится рядом с красным шариком в воздухе	4.9	ENTAILMENT
1046	Собака находится рядом с красным шариком в воздухе	Собака находится далеко от красного шара в воздухе	3.6	CONTRADICTION
1047	Собака прыгает в воздух, чтобы поймать красный шар	Собака находится рядом с красным шариком в воздухе	4.2	NEUTRAL
1048	Собака, которая мала, неустанно играет на зеленой траве	Собака, которая мала, играет на зеленой траве	4.7	ENTAILMENT
1049	Собака, которая мала, играет на зеленой траве	Собака, которая мала, бежит из зеленой травы	3.9	NEUTRAL
1050	Собака, которая мала, играет на зеленой траве	Маленький ребенок играет с зеленой болонкой на траве	2.8	NEUTRAL
1052	Собака, которая мала, бежит из зеленой травы	Собака находится рядом с красным шариком в воздухе	2.6	NEUTRAL
1053	Собака находится рядом с красным шариком в воздухе	Маленький ребенок играет с зеленой болонкой на траве	1.8	NEUTRAL
1054	Собака, которая мала, играет на зеленой траве	Собака находится рядом с мячом окрашенного в красный цвет, который находится в воздухе	2.4	NEUTRAL
1055	Собака находится далеко от красного шара в воздухе	Собака, которая мала, играет на зеленой траве	2.0	NEUTRAL
1057	Собака находится рядом с красным шариком в воздухе	Собака, которая мала, играет на зеленой траве	2.7	NEUTRAL
1061	Человек едет на мотоцикле в случае, связанный с мотокроссом	Человек едет на мотоцикле в случае, связанный с мотокроссом	4.4	ENTAILMENT
1064	Человек едет на мотоцикле на песчаном треке	Человек едет на мотоцикле в случае, связанный с мотокроссом	3.6	NEUTRAL
1065	Там нет ни одного человека, езда на мотоцикле в случае связанных с мотокросса	Человек едет на мотоцикле на песчаном треке	3.565	NEUTRAL
1068	Человек едет на мотоцикле в случае, связанный с мотокроссом	Человек не мотоцикл на песчаный треке	3.3	NEUTRAL
1069	Мотоцикл всадник скачет над человеком на песчаной дороге	Человек едет на мотоцикле в случае, связанный с мотокроссом	3.3	NEUTRAL
1074	Молодая девушка с розовой рубашкой мирно лежала на траве	Молодая девушка с розовой рубашкой не мирно лежала на траве	4.5	CONTRADICTION
1076	Девочка одета в розовую рубашку с белым писать на ней и лежит в траве	Молодая девушка с рубашкой окрашенной розовым мирно лежала на траве	4.1	NEUTRAL
1080	Молодая девушка с розовой рубашкой мирно лежала на траве	Девушка обнажена и стоит на траве	3.3	NEUTRAL
1082	Собака большого размера работает на траве с теннисным мячом в рте	Большая собака работает на траве с теннисным мячом в рте	4.7	ENTAILMENT
1083	Там нет большой собаки работает на траве с теннисным мячом в рте	Большая собака работает на траве с теннисным мячом в рте	3.5	CONTRADICTION
1084	Большая собака работает на траве с теннисным мячом в рте	Большой теннисный мяч используется, чтобы научить собаку бежать в траве и поймать его ртом	3.8	NEUTRAL
1087	Собака, которая является большой и серый, ведет мяч во рту и работает по траве	Большой, серый шар ударяет бегущую собаку, выполняющую траву во рту	3.1	NEUTRAL
1088	Большая собака работает на траве с теннисным мячом в рте	Собака, которая является большой и серый, как трудно нести мяч в рот и работает по траве	4.2	NEUTRAL
1090	Большой, серый шар ударяет бегущую собаку, выполняющую траву во рту	Большая собака работает на траве с теннисным мячом в рте	2.45	NEUTRAL
1091	Собака, которая является большой и серый, ведет мяч во рту и работает по траве	Собака большого размера работает на траве с теннисным мячом в рте	4.2	NEUTRAL
1092	Собака, которая является большой и серый, ведет мяч во рту и работает по траве	Там нет большой собаки работает на траве с теннисным мячом в рте	3.4	NEUTRAL
1093	Большой теннисный мяч используется, чтобы научить собаку бежать в траве и поймать его ртом	Собака, которая является большой и серый, ведет мяч во рту и работает по траве	3.2	NEUTRAL
1094	Собака, которая является большой и серый, ведет мяч во рту и работает по траве	Большая собака работает на траве с теннисным мячом в рте	4.4	ENTAILMENT
1095	Человек открывает небольшой пакет, содержащий наушники	Человек открывает пакет, который содержит наушники	4.9	ENTAILMENT
1097	Человек открывает пакет, который содержит наушники	Человек, который в наушниках открывает пакет 	2.9	NEUTRAL
1099	Там нет женщины верхом на лошади	Женщина верхом на лошади	2.8	CONTRADICTION
1104	Человек, который в наушниках открывает пакет 	Женщина верхом на лошади	1.2	NEUTRAL
1105	Женщина верхом на лошади	Человек открывает пакет, который содержит наушники	1.1	NEUTRAL
1108	Человек открывает пакет, который содержит наушники	Человек, который в наушниках открывает пакет 	2.8	NEUTRAL
1109	Человек поет и играет на гитаре	Человек поет песню и играет на гитаре	4.9	ENTAILMENT
1111	Человек поет песню и играет на гитаре	Человек открывает пакет, который содержит наушники	1.2	NEUTRAL
1112	Человек открывает пакет, который содержит наушники	Там нет ни одного человека, петь и играть на гитаре	1.2	NEUTRAL
1115	Человек поет и играет на гитаре	Человек, который в наушниках открывает пакет 	1.9	NEUTRAL
1117	Собака катается на скейтборде в парке	Собака катается на скейтборде	4.3	ENTAILMENT
1118	Собака катается на скейтборде	Там нет собаки езды на скейтборде	3.5	CONTRADICTION
1120	Собака катается на скейтборде	Там нет собаки езды на скейтборде	3.2	CONTRADICTION
1122	Там нет собаки езды на скейтборде	Собака катается на скейтборде	3.8	CONTRADICTION
