pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
482	Две коричневые собаки дерутся за мячик и играют в траве	Две коричневые собаки дерутся над красной игрушкой и играют в траве	4.7	ENTAILMENT
483	Две коричневые собаки дерутся за мячик и играют в траве	Там не собака играет с красным мячом	2.5	NEUTRAL
487	Две кошки играют с красным мячом	Две коричневые собаки дерутся за мячик и играют в траве	2.95	NEUTRAL
488	Два daschunds играют с красным мячом	Две коричневые собаки дерутся над красной игрушкой и играют в траве	3.8	NEUTRAL
490	Два daschunds играют с красным мячом	Две коричневые собаки дерутся за мячик и играют в траве	3.7	NEUTRAL
492	Черно-белая собака работает и человек стоит за ним	Черно-белая собака не работает, и нет ни одного человека, стоящего позади	3.3	CONTRADICTION
493	Черный человек бежит по белой подставке и лает собака за ним	Черно-белая собака работает и человек стоит за ним	2.4	NEUTRAL
495	Немного собака замедляется и владелец бросить чеканка	Немного собака спринт и его владелец пытается поймать его	3.9	NEUTRAL
498	Собака, которая является черно-белым, работает и человек стоит за ним	Немного собака спринт и его владелец пытается поймать его	3.7	NEUTRAL
501	Черно-белая собака работает и человек стоит за ним	Немного собака спринт и его владелец пытается поймать его	3.3	NEUTRAL
502	Человек сидит комфортно за столом	Человек сидит комфортно за столом	4.5	ENTAILMENT
503	Человек не сидит удобно за столом	Человек сидит комфортно за столом	3.45	CONTRADICTION
504	Человек сидит и столов комфортное обсуждение	Человек сидит комфортно за столом	3.7	NEUTRAL
509	Человек сидит комфортно за столом	Там нет человека, одетого в рубашке окрашенной черный, сидя за стол и смех	2.8	NEUTRAL
510	Человек сидит комфортно за столом	Смеющийся человек крашение рубашку черного цвета на столе, который вы не можете сидеть на 	2.4	NEUTRAL
511	Человек, одетый в черную рубашку крашеные сидит за столом и смех	Человек сидит комфортно за столом	3.0	NEUTRAL
512	Человек, одетый в черную рубашку крашеные сидит за столом и смех	Человек не сидит удобно за столом	3.0	NEUTRAL
517	Женщина, которая носит розовое боа едет на велосипеде вниз мост, построенный для пешеходов	Пешеход женщина строит розовые велосипеды для боа носить всадников	2.8	NEUTRAL
518	Женщина носить серебряные штаны, розовый клеш и розовый шарф, к счастью езды на велосипеде	Женщина носить серебряные штаны, розовый клеш и розовый шарф едет на велосипеде	4.7	ENTAILMENT
519	Женщина носить серебряные штаны, розовый клеш и розовый шарф не езда на велосипеде	Женщина носить серебряные штаны, розовый клеш и розовый шарф едет на велосипеде	4.0	CONTRADICTION
521	Женщина носить серебряные штаны, розовый клеш и розовый шарф, к счастью езды на велосипеде	Женщина, которая носит розовое боа едет на велосипеде вниз мост, построенный для пешеходов	3.0	NEUTRAL
523	Женщина, которая носит розовое боа едет на велосипеде вниз мост, построенный для пешеходов	Розовые клеш и розовый шарф не должны носить женщины с серебряными брюками или ездой на велосипеде людей	2.7	NEUTRAL
525	Женщина носить серебряные штаны, розовый клеш и розовый шарф едет на велосипеде	Женщина, которая взлетает с розовым боа останавливает свой велосипед на мосте, построенный для пешеходов	2.5	NEUTRAL
532	Там нет человека, одетого в черном шлют и толкая велосипед	Один человек, одетый в черный шлем и толкая велосипед	3.1	CONTRADICTION
533	Один человек, одетый в черный шлем и толкая велосипед	Человек толкает шлем в сторону другой на черном велосипеде	3.4	NEUTRAL
534	Черный шлем надет на человека, который толкает велосипед	Байкер носить механизм, который является черным	3.5	NEUTRAL
536	Человек толкает шлем в сторону другой на черном велосипеде	Байкер носить механизм, который является черным	2.4	NEUTRAL
537	Человек, который едет на велосипеде, носить снаряжение, которое черный	Один человек, одетый в черный шлем и толкая велосипед	3.3	NEUTRAL
539	Один человек, одетый в черный шлем и толкая велосипед	Байкер носить черный ломают шестерню	2.3	NEUTRAL
540	Байкер носить механизм, который является черным	Один человек, одетый в черный шлем и толкая велосипед	3.3	NEUTRAL
543	Человек в сером майке сидит на скале в передней части водопада	Качалка сидит с футболкой, который имеет человек над серым водопадом на передней панели	3.0	NEUTRAL
544	Одна женщина сидит и смотрит на водопад	Женщина сидит и смотрит на водопад	4.6	ENTAILMENT
546	Женщина сидит и смотрит на водопад	Кто-то сидит у водопада и, глядя на женщину	3.1	NEUTRAL
547	Человек в сером майке сидит на скале в передней части водопада	Одна женщина сидит и смотрит на водопад	2.685	NEUTRAL
549	Человек в сером майке сидит на скале в передней части водопада	Кто-то сидит у водопада и, глядя на женщину	3.5	NEUTRAL
553	Женщина сидит и смотрит на водопад	Человек в сером майке сидит на скале в передней части водопада	2.9	NEUTRAL
554	Собака, которая является коричневой и черной один мчитесь в траве	Собака, которая является коричневым цветом, и черным работают в траве	4.4	ENTAILMENT
558	Темная черная собака и светло-коричневая собака играют во дворе	Темная черная собака и светло-коричневые собаки дерутся на заднем дворе	3.8	NEUTRAL
559	Свет на заднем дворе шалит в темноте на коричневой и черной собаки	Темная черная собака и светло-коричневая собака играют во дворе	3.1	NEUTRAL
562	Свет на заднем дворе шалит в темноте на коричневой и черной собаки	Собака, которая является коричневым цветом, и черным работают в траве	2.5	NEUTRAL
563	Собака, которая является коричневой и черной один мчитесь в траве	Темная черная собака и светло-коричневая собака играют во дворе	3.6	NEUTRAL
566	Собака, которая является коричневым цветом, и черным работают в траве	Темная черная собака и светло-коричневая собака играют во дворе	3.9	NEUTRAL
567	Собака, которая имеет коричневый и белый слой является рысью через мелководье	Собака, которая имеет белое и коричневое пальто является рысью через мелководье.	5.0	ENTAILMENT
569	Собака, которая имеет коричневый и белый слой является рысью через мелководье	Коричневое и белое пальто плавает по мелкой воде вблизи рысистой собаки	2.9	NEUTRAL
571	Белая и коричневая собака ходит по воде, с трудом	Там нет белого и коричневый собака ходить с помощью трудности воды	2.6	CONTRADICTION
572	Белый человек выгуливает собаку через коричневую воду с трудом	Белая и коричневая собака ходит по воде, с трудом	3.6	NEUTRAL
573	Белая и коричневая собака шагает по воде с трудом	Собака, которая имеет коричневый и белый слой является рысью через мелководье	3.8	NEUTRAL
574	Собака, которая имеет коричневый и белый слой является рысью через мелководье	Там нет белого и коричневый собака ходить с помощью трудности воды	3.1	NEUTRAL
575	Белый человек выгуливает собаку через коричневую воду с трудом	Собака, которая имеет коричневый и белый слой является рысью через мелководье	2.3	NEUTRAL
576	Собака, которая имеет белое и коричневое пальто является рысью через мелководье.	Белая и коричневая собака ходит по воде, с трудом	4.0	NEUTRAL
577	Собака, которая имеет коричневый и белый халат сидит на мелководье	Белая и коричневая собака ходит по воде, с трудом	3.5	NEUTRAL
578	Белая и коричневая собака ходит по воде, с трудом	Коричневое и белое пальто плавает по мелкой воде вблизи рысистой собаки	2.5	NEUTRAL
579	Белая и коричневая собака ходит по воде, с трудом	Собака, которая имеет коричневый и белый слой является рысью через мелководье	3.7	NEUTRAL
580	Группа мальчиков играет с мячом перед большой дверью из дерева	Пучок мальчиков играют с мячом перед большой дверью из дерева	4.9	ENTAILMENT
582	Группа мальчиков играет с мячом перед большой дверью из дерева	Шар из дерева играется через дверь перед большой группой мальчиков 	3.6	NEUTRAL
583	Дети играют в передней части двери, что очень большой	Дети играют в передней части большой двери	4.9	ENTAILMENT
584	Дети не играют в передней части большой двери	Дети играют в передней части большой двери	4.3	CONTRADICTION
585	Группа мальчиков играет с мячом перед большой дверью из дерева	Дети играют в передней части двери, что очень большой	3.8	ENTAILMENT
589	Дети играют в передней части большой двери	Шар из дерева играется через дверь перед большой группой мальчиков 	3.4	NEUTRAL
590	Группа мальчиков играет с мячом перед большой дверью из дерева	Дети играют в передней части большой двери	4.2	ENTAILMENT
591	Женщина снимая плащ, который является очень большим, и выявлением экстравагантного платья	Женщина снимая плащ, который является очень большим, и выявление экстравагантной одежды	4.3	ENTAILMENT
593	Черное, красное, белое и розовое платье надето женщиной	Платье, которое является черным, красным, белым и розовым надето женщиной	4.9	ENTAILMENT
594	Там нет черного, красного, белого и розового платья, надетого женщиной	Черное, красное, белое и розовое платье надето женщиной	3.8	CONTRADICTION
595	Платье, которое является черным, красным, белым и розовым надето женщиной	Женщина снимая плащ, который является очень большим, и выявлением экстравагантного платья	3.6	NEUTRAL
596	Там нет черного, красного, белого и розового платья, надетого женщиной	Женщина снимая плащ, который является очень большим, и выявлением экстравагантного платья	2.4	NEUTRAL
598	Женщина надевает плащ, который является очень большим, и скрывая экстравагантное платье	Черное, красное, белое и розовое платье надето женщиной	3.2	NEUTRAL
600	Девочка-подросток носить бусы, которые красный	Девочка-подросток носить бусы, которые красный	5.0	ENTAILMENT
602	Девочка-подросток носить бусы, которые красный	Девушка любит красный и не носить бусинки для подростков	2.8	NEUTRAL
607	Девочка-подросток носить бусы, которые красный	Там нет барышни с светло-коричневыми волосами, носить красное ожерелье, толстовку и серьгу и улыбаются	3.2	NEUTRAL
608	Девочка-подросток носить бусы, которые красный	Красная толстовка с улыбкой леди на нее подходят для ношения с светло-каштановыми волосами, серьгой и ожерельем 	1.915	NEUTRAL
610	Девочка-подросток хранения прочь бусин, которые являются красный	Барышня с светло-коричневыми волосами, одета в красное ожерелье, толстовка и серьга и улыбается	2.0	NEUTRAL
612	Барышня с светло-коричневыми волосами, одета в красное ожерелье, толстовка и серьга и улыбается	Девочка-подросток носить бусы, которые красный	3.0	ENTAILMENT
613	Мальчик взбирается на стене искусственно построенную для лазания и прикреплен к веревке	Мальчик легко взбираясь стеной искусственно построенной для лазания и прикреплен к веревке	4.9	ENTAILMENT
614	Мальчик взбирается на стене искусственно построенную для лазания и прикреплен к веревке	Мальчик спускается стеной искусственно построенной для лазания и не привязан к веревке	3.935	CONTRADICTION
615	Мальчик взбирается на стене искусственно построенную для лазания и прикреплен к веревке	Альпинист на стене крепятся к альпинистскому мальчику с искусственно построенной веревкой	4.2	NEUTRAL
616	Страшный маленький мальчик на скалодроме	Маленький мальчик, который выглядит страшно, на скалодром.	5.0	ENTAILMENT
618	Подъемный мальчик спасает устрашающую кошку через стену	Страшный маленький мальчик на скалодроме	2.8	NEUTRAL
620	Мальчик взбирается на стене искусственно построенную для лазания и прикреплен к веревке	Страшный маленький мальчик на земле	2.6	NEUTRAL
623	Мальчик спускается стеной искусственно построенной для лазания и не привязан к веревке	Страшный маленький мальчик на скалодроме	3.0	NEUTRAL
624	Альпинист на стене крепятся к альпинистскому мальчику с искусственно построенной веревкой	Страшный маленький мальчик на скалодроме	3.4	NEUTRAL
627	Отец начинает дочь в бассейне	Отец забирает свою дочь из бассейна	3.3	NEUTRAL
633	Человек не бросая ребенка в бассейн, который находится рядом с океаном	Отец начинает дочь в бассейне	3.0	NEUTRAL
635	Папа начинает свою дочь в бассейн	Человек бросание ребенка в бассейн, который находится рядом с океаном	4.2	NEUTRAL
636	Отец забирает свою дочь из бассейна	Человек бросание ребенка в бассейн, который находится рядом с океаном	2.9	NEUTRAL
639	Один человек взбирается на скалу с веревкой	Один человек восхождение скалы с веревкой	4.9	ENTAILMENT
640	Один человек спускается со скалы с веревкой	Один человек восхождение скалы с веревкой	3.3	NEUTRAL
642	Человек поднимается на скалу с веревкой, которая розовый	Камень в настоящее время взобрался на человека с веревкой, которая розовый	5.0	ENTAILMENT
644	Человек поднимается на скалу с веревкой, которая розовый	Люди с розовым альпинистским снаряжением привязали камень	3.4	NEUTRAL
652	Мальчик восхождение стены из камня	Один молодой мальчик, восхождение стены из камня	4.8	ENTAILMENT
654	Молодой альпинист делает каменную стену для мальчиков	Мальчик восхождение стены из камня	3.3	NEUTRAL
656	Маленький ребенок поднимается стена для скалолазания, которая в закрытом помещении	Маленький ребенок находится под рок-стена для скалолазания, которая в закрытом помещении	4.0	NEUTRAL
658	Мальчик восхождение стены из камня	Молодой парень поднимается стена для скалолазания, которая в закрытом помещении	4.3	NEUTRAL
659	Маленький ребенок находится под рок-стена для скалолазания, которая в закрытом помещении	Мальчик восхождение стены из камня	3.4	NEUTRAL
662	Мальчик не лезет на стену из камня	Маленький ребенок поднимается стена для скалолазания, которая в закрытом помещении	3.9	NEUTRAL
664	Маленький ребенок поднимается стена для скалолазания, которая в закрытом помещении	Мальчик восхождение стены из камня	4.2	NEUTRAL
665	Один человек делает трюк с велосипедом в воздухе	Один человек делает велосипед трюк в воздухе	4.8	ENTAILMENT
666	Один человек делает велосипед трюк в воздухе	Человек не в состоянии выполнить велосипедный трюк в воздухе	3.5	NEUTRAL
667	Велосипедист бесстрашно выполняет трюк в воздухе	Велосипедист выполняет трюк в воздухе	4.9	ENTAILMENT
669	Воздух обманывая исполняющий велосипедист	Велосипедист выполняет трюк в воздухе	2.4	NEUTRAL
670	Один человек делает велосипед трюк в воздухе	Велосипедист бесстрашно выполняет трюк в воздухе	4.065	NEUTRAL
673	Один человек делает трюк с велосипедом в воздухе	Велосипедист выполняет трюк в воздухе	4.1	ENTAILMENT
674	Человек не в состоянии выполнить велосипедный трюк в воздухе	Велосипедист выполняет трюк в воздухе	3.3	CONTRADICTION
675	Один человек делает велосипед трюк в воздухе	Велосипедист выполняет трюк в воздухе	4.4	ENTAILMENT
677	Собака, которая является черным и белым один игнорируют друг друга на улице	Собака, которая является черным и белым один смотрят друг на друга на улице	3.6	CONTRADICTION
681	Вдоль двух улиц, различных пород собак в настоящее время смотрели на	Две собаки разных пород смотрят друг на друга через улицу	3.1	NEUTRAL
682	Две собаки разных пород сердито глядя друг на друга через улицу	Собака, которая является черным и белым один смотрят друг на друга на улице	3.9	NEUTRAL
683	Собака, которая является черным и белым один смотрят друг на друга на улице	Там нет собак разных пород, глядя друг на друга через улицу	3.4	NEUTRAL
684	Собака, которая является черным и белым один смотрят друг на друга на улице	Вдоль двух улиц, различных пород собак в настоящее время смотрели на	2.9	NEUTRAL
686	Две собаки разных пород смотрят друг на друга через улицу	Собака, которая является черным и белым один игнорируют друг друга на улице	3.5	NEUTRAL
688	Собака, которая является черным и белым один смотрят друг на друга на улице	Две собаки разных пород смотрят друг на друга через улицу	4.4	NEUTRAL
694	Собака, которая является пушистым и черный на заднем дворе, и с корзиной во рту	Собака во дворе перевозит черный мех в корзине во рту.	3.9	NEUTRAL
695	Собака, которая является пушистым и черный в заднем дворе и с корзиной во рту.	Собака рядом с деревом, которое, вероятно, сосна, кусает ведро	3.4	NEUTRAL
700	Собака, которая является пушистым и черный на заднем дворе, и с корзиной во рту	Собака в ведре кусает дерево, которое, вероятно, сосна	2.1	NEUTRAL
701	Собака, которая является пушистым и черный на заднем дворе, и с корзиной во рту	Собака рядом с деревом, которое, вероятно, сосна, кусает ведро	2.5	NEUTRAL
705	Мужчина и женщина удобно устроились на скамейке	Два человека сидят удобно на скамейке	4.6	ENTAILMENT
706	Мужчина и женщина удобно устроились на скамейке	Никто не сидит удобно на скамейке	3.585	CONTRADICTION
707	Два больших люди сидят на скамейке в парке и у них есть бутылка соды между ними	Два человека сидят удобно на скамейке	3.5	NEUTRAL
708	Никто не сидит удобно на скамейке	Два больших люди сидят на скамейке в парке и у них есть бутылка соды между ними	3.6	NEUTRAL
710	Два больших люди стоят рядом на скамейку в парке, и они не имеют никакого отношения между ними	Мужчина и женщина удобно устроились на скамейке	2.8	NEUTRAL
711	Мужчина и женщина удобно устроились на скамейке	Две большие парковые скамейки у человека, сидящего и бутылку содовой между ними	3.0	NEUTRAL
712	Мужчина и женщина удобно устроились на скамейке	Два больших люди сидят на скамейке в парке и у них есть бутылка соды между ними	3.9	NEUTRAL
713	Один человек ведет гонку	Человек ведет гонку	5.0	ENTAILMENT
714	Человек ведет гонку	Человек замыкающая гонки	3.1	NEUTRAL
716	Несколько мужчин в конкуренции работают за пределами	Несколько мужчин в конкуренции на открытом воздухе	4.1	ENTAILMENT
719	Человек ведет гонку	Несколько мужчин в конкуренции на открытом воздухе	3.1	NEUTRAL
720	Человек ведет гонку	Несколько мужчин в соревновании работают в закрытом помещении	2.1	NEUTRAL
721	Человек ведет гонку	Несколько человек работают за пределами соревнования	3.1	NEUTRAL
724	Несколько мужчин в конкуренции работают за пределами	Мужчина мчится для свинца 	3.4	NEUTRAL
726	Предмет изучается человек с камерой	Человек с камерой изучения предмета	4.9	ENTAILMENT
739	Невеста покидает жених после свадьбы	Невеста и жених покидают после свадьбы	3.2	NEUTRAL
740	Супружеская пара идет вниз по проходу	Пара, которая только что вышла замуж идет вниз остров	4.8	ENTAILMENT
742	Супружеская пара идет вниз по проходу	Священник шел по проходу, чтобы выйти замуж за пару	2.9	NEUTRAL
743	Пара, которая только что вышла замуж идет вниз остров	Невеста и жених покидают после свадьбы	4.1	ENTAILMENT
744	Супружеская пара идет по проходу	Невеста и жених покидают после свадьбы	3.9	NEUTRAL
750	Студенты заполняют класс	Классная комната полна студентов	4.3	ENTAILMENT
751	Классная комната полна студентов	Классная комната пуста	2.3	CONTRADICTION
753	Презентация не смотрел на классе студентов	Презентации наблюдает классе студентов	4.4	CONTRADICTION
755	Презентация не смотрел на классе студентов	Классная комната полна студентов	3.1	NEUTRAL
756	Презентации наблюдает классе студентов	Студенты заполняют класс	2.9	NEUTRAL
758	Презентации наблюдает классе студентов	Классная комната полна студентов	3.9	ENTAILMENT
763	Ребенок скользит по снегу	Ребенок еще в снеге	4.2	NEUTRAL
767	Мальчик на холме, покрытые снегом одета в красную куртку и черную шапку и сползает на коленях	Снег слайд полон детей	2.7	NEUTRAL
770	Ребенок скользит по снегу	Мальчик на красном и черном слайде одет в куртку и шляпу и колени, которые покрыты снегом	3.6	NEUTRAL
771	Мальчик на холме, покрытые снегом одета в красную куртку и черную шапку и сползает на коленях	Ребенок скользит по снегу	3.6	NEUTRAL
773	Женщина и собака стоят возле пня	Женщина и собака сидит на пне	3.5	NEUTRAL
775	Женщина, которая стара, находится рядом с белой собакой	Женщина, которая стара, далека от белой собаки	3.6	NEUTRAL
776	Женщина, которая стара, находится рядом с собакой, которая имеет белое пальто	Женщина и собака сидит на пне	2.8	NEUTRAL
778	Женщина, которая стара, находится рядом с белой собакой	Женщина и собака мирно сидит на пне	3.685	NEUTRAL
779	Женщина, которая стара, находится рядом с белой собакой	Женщина и собака стоят возле пня	3.0	NEUTRAL
781	Собака возбужденно играет с водой в поле	Собака возбужденно играет с водой в траве	4.3	ENTAILMENT
782	Собака возбужденно играет с водой в траве	Там не одна собака возбужденно играет с водой в траве	3.75	CONTRADICTION
786	Собака щелкать на некоторых капель воды	Оснастка является изображением воды падает в виде капель на собаке	2.3	NEUTRAL
787	Собака возбужденно играет с водой в траве	Собака кусает несколько капель воды	3.2	NEUTRAL
788	Собака не щелкать на некоторых капель воды	Собака возбужденно играет с водой в траве	3.5	NEUTRAL
790	Собака возбужденно играет с водой в поле	Собака щелкать на некоторых капель воды	3.65	NEUTRAL
794	Два человека идет две собак с золотыми пальто в снеге	Два человека идет две собак с золотыми пальто в снеге	4.6	ENTAILMENT
795	Два человека идет две собак с золотыми пальто в снеге	Два человека находятся в снегу, проведение двух собак с золотыми пальто	3.8	NEUTRAL
798	Два человека находятся в снегу не носить одежду, которая обеспечивает маскировку. 	Два человека находятся в снегу, носить одежду, которые обеспечивают маскировку	3.8	CONTRADICTION
800	Никто не в снеге, носить одежду, которые обеспечивают маскировку	Два человека идет две собак с золотыми пальто в снеге	2.5	NEUTRAL
801	Два человека идет две собак с золотыми пальто в снеге	Два человека находятся в снегу не носить одежду, которая обеспечивает маскировку. 	2.1	NEUTRAL
803	Два человека находятся в снегу, носить одежду, которые обеспечивают маскировку	Два человека находятся в снегу, проведение двух собак с золотыми пальто	2.6	NEUTRAL
805	Девушка из Азии, в передней части окна кирпича, выглядит удивленной	Девушка из Азии, в передней части окна из кирпича, выглядит удивленной	4.9	ENTAILMENT
806	Девушка из Азии, в передней части окна кирпича, не выглядит удивлена	Девушка из Азии, в передней части окна кирпича, выглядит удивленной	3.2	CONTRADICTION
807	Девочка смотрит на удивляйтесь из переднего окна в доме, в Азии.	Девушка из Азии, в передней части окна кирпича, выглядит удивленной	4.6	ENTAILMENT
808	Девочка одета в футболку и имеет открытым ртом.	Девушка имеет футболку и держит рот открытым	4.6	ENTAILMENT
809	Там нет девушки носить футболку и держать рот открытым	Девочка одета в футболку и имеет открытым ртом.	3.9	CONTRADICTION
810	Девушка имеет футболку и держит рот открытым	Девушка из Азии, в передней части окна кирпича, выглядит удивленной	2.6	NEUTRAL
814	Девочка смотрит на удивляйтесь из переднего окна в доме, в Азии.	Девочка одета в футболку и имеет открытым ртом.	2.4	NEUTRAL
815	Девочка одета в футболку и имеет открытым ртом.	Девушка из Азии, в передней части окна кирпича, выглядит удивленной	3.0	NEUTRAL
817	Группа людей оснащена средствами защиты	Группа людей оснащена unprotective шестерней	3.5	NEUTRAL
818	Человек в велосипедном снаряжении постоянно стоит перед некоторыми горами 	Человек в редукторе используется для езды на велосипеде устойчиво стоять перед гор	4.8	ENTAILMENT
819	Человек в велосипедном снаряжении постоянно стоит перед некоторыми горами 	Там нет ни одного человека в велосипедной шестерне стоял устойчиво перед гор	3.6	CONTRADICTION
821	Группа людей оснащена средствами защиты	Человек в редукторе используется для езды на велосипеде устойчиво стоять перед гор	2.4	NEUTRAL
823	Горы шестерня постоянно находится впереди стоящего велосипедиста	Группа людей оснащена средствами защиты	2.7	NEUTRAL
826	Группа людей оснащена средствами защиты	Человек в велосипедном снаряжении постоянно стоит перед некоторыми горами 	2.7	NEUTRAL
828	Футбол между ногами мальчика, который лежал на траве	Футбол не между ногами мальчика, который лежал в траве	3.1	CONTRADICTION
829	Мальчик на траве лежит и скрывается футбол между его ногами	Футбол между ногами мальчика, который лежал на траве	4.4	ENTAILMENT
832	Маленький ребенок играет в футбол и падает в траву	Футболист падает в траву, чтобы увернуться маленький ребенок	3.7	NEUTRAL
833	Футбол между ногами мальчика, который лежал на траве	Маленький ребенок играет в футбол и падение безвредно в траве	3.4	NEUTRAL
834	Там не маленький ребенок, играя в футбол и падают в траву	Футбол между ногами мальчика, который лежал на траве	3.0	NEUTRAL
835	Футбол между ногами мальчика, который лежал на траве	Футболист падает в траву, чтобы увернуться маленький ребенок	2.9	NEUTRAL
837	Маленький ребенок играет в футбол и падает в траву	Футбол не между ногами мальчика, который лежал в траве	3.8	NEUTRAL
838	Мальчик на траве лежит и скрывается футбол между его ногами	Маленький ребенок играет в футбол и падает в траву	3.4	NEUTRAL
840	Люди с восхождением оборудования висят от скалы, которая является вертикальной и белым	Люди с оборудованием используется для лазания висят от белой вертикальной скалы.	4.8	ENTAILMENT
842	Альпинистское снаряжение, чтобы спасти человек висит от белой, вертикальной скалы	Люди с оборудованием используется для лазания висят от белой вертикальной скалы.	3.2	NEUTRAL
843	Женщина с косичками восхождение на каменной стене	Женщина с хвостиком восхождение стены скалы	4.2	NEUTRAL
847	Люди с оборудованием используется для лазания висят от белой вертикальной скалы.	Женщина с хвостиком поднимается вниз стеной скалы	2.7	NEUTRAL
849	Женщина с хвостиком восхождение стены скалы	Люди с восхождением оборудования висят от скалы, которая является вертикальной и белым	3.1	NEUTRAL
850	Люди с оборудованием используется для восхождений находятся под вертикальной, белой породой	Женщина с хвостиком восхождение стены скалы	2.7	NEUTRAL
853	Черно-белая собака радостно работает на траве	Собака, которая имеет черное пальто, и белая собака работают на траве	4.4	ENTAILMENT
854	Там нет собаки радостно работает на траве	Черно-белая собака радостно работает на траве	3.2	CONTRADICTION
856	Одна белая собака и один черный один являются бодро работает бок о бок на траве	Одна белая собака и один черный работают бок о бок на траве	4.7	ENTAILMENT
861	Одна белая собака и один черный работают бок о бок на траве	Там нет собаки радостно работает на траве	3.2	NEUTRAL
863	Черно-белая собака радостно работает на траве	Одна белая собака и один черный работают бок о бок на траве	4.1	NEUTRAL
865	Многие люди находятся в ледовом парке	Есть не так много людей в ледовом парке	3.5	CONTRADICTION
871	Многие люди находятся в ледовом парке	Каток на открытом воздухе помещен пустой	3.6	NEUTRAL
875	Многие люди на коньках в парке льда	Каток на открытом воздухе размещены полно людей	4.5	ENTAILMENT
877	Девушка в форме, которая является синей, быстро подняв руку	Девушка в форме, которая является синей, поднимает ее руку.	4.5	ENTAILMENT
884	Девушка в форме, которая является синей, поднимает ее руку.	Девушка в синей и белой форме не болеть	2.7	NEUTRAL
885	Девушка в форме, которая является синей, поднимает ее руку.	Девочка восхищаться людьми в синей и белой форме	3.3	NEUTRAL
886	Девушка в форме, которая является синей, быстро подняв руку	Девушка в синей и белой форме восхищаться	3.8	NEUTRAL
890	Куча парней на берегу	Группа людей на берегу	4.3	ENTAILMENT
891	Там нет никого на берегу	Группа людей на берегу	3.6	CONTRADICTION
894	Люди на пляже с песком на берегу океана и наслаждаясь день полны солнца	Группа людей на берегу	3.8	ENTAILMENT
896	Куча парней на берегу	Люди на пляже с песком на берегу океана и наслаждаться солнечным днем	3.2	NEUTRAL
897	Люди на пляже с песком на берегу океана и наслаждаться солнечным днем	Там нет никого на берегу	3.7	CONTRADICTION
900	Человек в синем комбинезоне не в состоянии выполнить свечу на мотоцикле	Человек в синем комбинезоне мужественно выполняя свечу на мотоцикле	4.0	CONTRADICTION
901	Смелый исполнитель делает вилли с мотоциклом над человеком в синем комбинезоне	Человек в синем комбинезоне мужественно выполняя свечу на мотоцикле	3.6	NEUTRAL
903	Человек получает от мотоцикла на землю, которая в основном бесплодной	Человек делает вилли с мотоциклом на земле, которая в основном бесплодная	3.6	NEUTRAL
905	Человек делает вилли с мотоциклом в области, которая в основном бесплодной	Человек в синем комбинезоне мужественно выполняя свечу на мотоцикле	3.6	NEUTRAL
907	Человек находится на земле, которая в основном бесплодная, съемки свечи сделано с мотоциклом.	Человек в синем комбинезоне мужественно выполняя свечу на мотоцикле	2.6	NEUTRAL
911	Человек делает вилли с мотоциклом на земле, которая в основном бесплодная	Человек в синем комбинезоне мужественно выполняя свечу на мотоцикле	3.7	NEUTRAL
912	Женщина целуют человек	Дама целуют человек	4.9	ENTAILMENT
914	Два человека, страстно целовались возле толпы	Два человека целуется возле толпы	4.4	ENTAILMENT
916	Соседняя толпа людей целуется по два	Два человека целуется возле толпы	3.8	NEUTRAL
918	Два человека спорит возле толпы	Женщина целуют человек	1.1	NEUTRAL
919	Соседняя толпа людей целуется по два	Женщина целуют человек	3.15	NEUTRAL
921	Там нет женщин целуют человек	Два человека целуется возле толпы	3.1	NEUTRAL
923	Молодая женщина в окрашенной красной рубашке, дует пузырь, который огромен	Девушка в красной рубашке дует пузырь 	4.4	ENTAILMENT
924	Девушка в красной рубашке дует пузырь 	Девушка в окрашенной красной рубашке не дует пузырь	2.4	CONTRADICTION
925	Пузырь дул, крашение девочки рубашку красной.	Девушка в красной рубашке дует пузырь 	2.965	NEUTRAL
926	Молодая девушка дует пузырь, который огромен	Девочка, которая является молодой, дует пузырь, который огромен	4.9	ENTAILMENT
928	Девочка, которая является молодой, дует пузырь, который огромен	Девушка в красной рубашке дует пузырь 	4.0	NEUTRAL
929	Молодая девушка дует пузырь, который очень мал	Девушка в красной рубашке дует пузырь 	3.8	NEUTRAL
930	Молодая женщина в окрашенной красной рубашке, дует пузырь, который огромен	Молодая девушка дует пузырь, который огромен	3.8	ENTAILMENT
934	Маленький ребенок носить сапоги из зеленой резины и играть в луже полной грязи	Маленький ребенок носить зеленые сапоги и играть в луже полной грязи	4.6	ENTAILMENT
937	Маленький мальчик прыгает в лужу на улице	Маленький мальчик прыгает в лужу на улице	4.9	ENTAILMENT
938	Маленький мальчик прыгает в лужу на улице	Маленький мальчик выходит из лужи на улице	4.0	NEUTRAL
939	Маленький мальчик прыгает в лужу на улице	Перемычка маленького мальчика находится в луже на улице	3.4	NEUTRAL
941	Маленький ребенок носить зеленые сапоги и играть в луже полной грязи	Маленький мальчик выходит из лужи на улице	3.2	NEUTRAL
942	Перемычка маленького мальчика находится в луже на улице	Маленький ребенок носить зеленые сапоги и играть в луже полной грязи	2.6	NEUTRAL
946	Маленький ребенок носить зеленые сапоги и играть в луже полной грязи	Маленький мальчик прыгает в лужу на улице	3.8	NEUTRAL
